,Model,Year,Oil,Volume,Power,GSB,Drive,Color,Kilometers,Wheel,Generation,Complectation,Price,Pred_Price
332,Ларгус,2020,бензин,1.6,106,механика,передний,белый,22033,левый,1 поколение,1.6 MT Kub,879000,914425.0947723389
336,Х-рей Кросс,2020,бензин,1.8,122,механика,передний,оранжевый,38700,левый,1 поколение,1.8 MT Luxe,1057000,1057000.9141235352
338,4x4 2121 Нива,2000,бензин,1.7,79,механика,4WD,бордовый,90000,левый,1 поколение,1.7 MT,180000,224187.51278686523
339,Гранта,2015,бензин,1.6,106,механика,передний,синий,70000,левый,1 поколение,1.6 MT Люкс,550000,519189.30078125
340,21099,2001,бензин,1.5,72,механика,передний,серый,150000,левый,1 поколение,1.5 MT 21099-00 Стандарт,35000,103652.52569580078
344,2106,1989,бензин,1.3,64,механика,задний,голубой,85000,левый,1 поколение,1.3 MT 21063,65000,48922.025131225586
345,Ларгус,2018,бензин,1.6,106,механика,передний,белый,124000,левый,1 поколение,1.6 MT Norma Comfort 5 мест,680000,679995.9136962891
346,2112,2000,бензин,1.5,91,механика,передний,серебристый,120000,левый,1 поколение,1.5 MT Базовая 5-дв. 2112,52000,72197.35235595703
349,2114 Самара,2004,бензин,1.5,77,механика,передний,бежевый,325000,левый,1 поколение,1.5 MT Базовая,70000,97095.3228149414
352,2114 Самара,2006,бензин,1.5,77,механика,передний,серебристый,270000,левый,1 поколение,1.5 MT Базовая,100000,99791.94451904297
353,Х-рей,2017,бензин,1.6,106,механика,передний,коричневый,97000,левый,1 поколение,1.6 МТ Luxe + пакет Prestige,690000,760526.1591949463
354,Веста Кросс,2021,бензин,1.6,106,механика,передний,белый,12000,левый,1 поколение,1.6 MT Comfort + Winter EnjoY,1370000,1311180.1120758057
355,Приора,2012,бензин,1.6,87,механика,передний,черный,357013,левый,1 поколение,1.6 МТ Стандарт 21702-20-040,290000,252674.7463531494
357,Веста Кросс,2018,бензин,1.8,122,робот,передний,коричневый,68000,левый,1 поколение,1.8 AMT Luxe + пакет Prestige,899000,891024.4492492676
358,Гранта,2020,бензин,1.6,106,механика,передний,белый,52500,левый,"1 поколение, рестайлинг",1.6 MT Luxe,730000,659967.4912719727
363,2114 Самара,2006,бензин,1.5,77,механика,передний,бежевый,200000,левый,1 поколение,1.5 MT Базовая,180000,132170.49114990234
365,2114 Самара,2009,бензин,1.6,80,механика,передний,серебристый,53625,левый,1 поколение,1.6 MT 21144-22-010,329000,188141.83415222168
366,2114 Самара,2011,бензин,1.6,81,механика,передний,серый,200000,левый,1 поколение,1.6 MT 21144-30-010,220000,208099.9415588379
369,2114 Самара,2008,бензин,1.6,80,механика,передний,черный,50000,левый,1 поколение,1.6 MT 21144-20-010,90000,153977.81799316406
370,Приора,2009,бензин,1.6,98,механика,передний,зеленый,188000,левый,1 поколение,1.6 MT Люкс 21723-01-018,260000,203464.4135131836
371,Гранта,2015,бензин,1.6,87,механика,передний,белый,104000,левый,1 поколение,1.6 MT Норма,390000,360605.40716552734
372,Х-рей,2018,бензин,1.6,106,механика,передний,бежевый,52271,левый,1 поколение,1.6 МТ Luxe + пакет Prestige,855000,784465.1401519775
374,2113 Самара,2005,бензин,1.5,77,механика,передний,серебристый,212832,левый,1 поколение,1.5 MT Базовая,93999,99948.39167785645
375,2114 Самара,2011,бензин,1.6,81,механика,передний,зеленый,179000,левый,1 поколение,1.6 MT 21144-32-010,236000,221158.64590454102
376,2104,2001,бензин,1.5,71,механика,задний,белый,23000,левый,1 поколение,1.5 MT4 21043,40000,78302.7589263916
377,2115 Самара,2006,бензин,1.5,76,механика,передний,серебристый,140000,левый,1 поколение,1.5i MT Базовая,95000,120033.5659942627
379,Приора,2007,бензин,1.6,98,механика,передний,зеленый,300000,левый,1 поколение,1.6 MT Люкс 21703-03-033,115500,168689.59942626953
381,Гранта,2020,бензин,1.6,87,механика,передний,белый,20000,левый,"1 поколение, рестайлинг",1.6 MT Standart,599000,547475.0366821289
383,2109,1991,бензин,1.3,64,механика,передний,бежевый,70000,левый,1 поколение,1.3 MT,68000,89646.41792297363
385,4x4 2121 Нива,1990,бензин,1.6,73,механика,4WD,белый,82000,левый,1 поколение,1.6 MT Base,100000,78619.83628845215
390,Приора,2012,бензин,1.6,98,механика,передний,зеленый,91247,левый,1 поколение,1.6 MT Норма 21723-01-041,300000,309642.62686157227
391,2101,1983,бензин,1.2,59,механика,задний,голубой,265000,левый,1 поколение,1.2 MT 21013,57000,19738.75718688965
393,2114 Самара,2005,бензин,1.5,77,механика,передний,голубой,45444,левый,1 поколение,1.5 MT Базовая,100000,127389.46142578125
394,4x4 2121 Нива,2011,бензин,1.7,80,механика,4WD,белый,135000,левый,1 поколение,1.7 MT Стандарт,365000,369148.1959991455
397,Гранта,2021,бензин,1.6,106,робот,передний,белый,6300,левый,"1 поколение, рестайлинг",1.6 AMT Comfort,755000,627754.4554443359
398,4x4 2121 Нива,2021,бензин,1.7,83,механика,4WD,зеленый,4900,левый,"1 поколение, рестайлинг",1.7 MT Luxe+Кондиционер,975000,1031460.3698577881
400,Приора,2007,бензин,1.6,98,механика,передний,серебристый,218000,левый,1 поколение,1.6 MT Норма 21703-81-035,180000,179999.78700256348
401,2114 Самара,2011,бензин,1.6,81,механика,передний,черный,180000,левый,1 поколение,1.6 MT 21144-32-010,160000,234594.37101745605
402,21099,2002,бензин,1.5,78,механика,передний,серебристый,200000,левый,1 поколение,1.5i MT 21099-22 Люкс,81000,67930.4730834961
