,Model,Year,Oil,Volume,Power,GSB,Drive,Color,Kilometers,Wheel,Generation,Complectation,Price,Pred_Price
862,21099,2000,бензин,1.5,70,механика,передний,белый,200000,левый,1 поколение,1.5 MT 21099-02 Люкс,49000,49578.835693359375
865,Гранта,2018,бензин,1.6,98,АКПП,передний,серый,64000,левый,"1 поколение, рестайлинг",1.6 AT Luxe,715000,746496.9940795898
871,Гранта,2012,бензин,1.6,87,механика,передний,серый,150000,левый,1 поколение,1.6 MT Норма 711,315000,315000.58657836914
874,Гранта,2013,бензин,1.6,87,механика,передний,бежевый,140727,левый,1 поколение,1.6 MT Норма 011,310000,239370.32556152344
875,Веста,2020,бензин,1.6,106,механика,передний,серебристый,22800,левый,1 поколение,1.6 MT Comfort + пакет Winter,820000,828162.6814880371
878,Гранта,2021,бензин,1.6,90,механика,передний,коричневый,3800,левый,"1 поколение, рестайлинг",1.6 MT Classic,665000,681911.7978057861
881,Гранта,2013,бензин,1.6,82,механика,передний,белый,51,левый,1 поколение,1.6 MT Стандарт,350000,307282.5033874512
882,Приора,2011,бензин,1.6,87,механика,передний,белый,200000,левый,1 поколение,1.6 MT Стандарт 21722-00-040,350000,302697.809173584
883,Гранта,2012,бензин,1.6,82,механика,передний,синий,155000,левый,1 поколение,1.6 MT Стандарт,249000,273370.0923614502
885,Веста,2017,бензин,1.8,122,робот,передний,черный,58800,левый,1 поколение,1.8 AMT Luxe + пакет Multimedia,800000,818406.2654724121
886,Приора,2010,бензин,1.6,98,механика,передний,бордовый,150000,левый,1 поколение,1.6 MT Норма 21723-01-011,250000,247049.5629272461
888,2115 Самара,2011,бензин,1.6,81,механика,передний,серебристый,150000,левый,1 поколение,1.6 MT 21154-30-010,200000,213905.28254699707
892,4x4 2121 Нива,2014,бензин,1.7,83,механика,4WD,бордовый,39000,левый,1 поколение,1.7 MT Стандарт,490000,456211.9593811035
893,2106,1998,бензин,1.6,75,механика,задний,зеленый,63000,левый,1 поколение,1.6 MT5 2106,65000,66736.70869445801
895,Х-рей,2017,бензин,1.8,122,робот,передний,бежевый,136000,левый,1 поколение,1.8 AМТ Optima + пакет Air Conditioner,750000,750002.0600128174
900,2106,2001,бензин,1.5,72,механика,задний,зеленый,75000,левый,1 поколение,1.5 MT 21065-01,70000,89365.43106079102
901,Гранта,2013,бензин,1.6,87,механика,передний,серебристый,167868,левый,1 поколение,1.6 MT Норма 010,280000,297950.58821105957
902,2106,2004,бензин,1.6,75,механика,задний,синий,70000,левый,1 поколение,1.6 MT 21065,140000,116494.55737304688
904,2112,2007,бензин,1.6,89,механика,передний,серебристый,182348,левый,1 поколение,1.6 MT Базовая 5-дв. 21124,70000,117879.7214050293
905,Веста,2017,бензин,1.8,122,механика,передний,бежевый,60800,левый,1 поколение,1.8 MT Luxe + пакет Multimedia,819000,791801.8766174316
906,4x4 2121 Нива,2021,бензин,1.7,83,механика,4WD,черный,24000,левый,"1 поколение, рестайлинг",1.7 MT Luxe+Кондиционер,950000,1042084.4000396729
907,4x4 2121 Нива,1995,бензин,1.7,79,механика,4WD,белый,9999,левый,1 поколение,1.7 MT,130000,173042.29554748535
908,2112,2003,бензин,1.5,91,механика,передний,черный,170500,левый,1 поколение,1.5 MT Базовая 5-дв. 2112,160000,98747.35140991211
909,2114 Самара,2013,бензин,1.6,89,механика,передний,белый,141500,левый,1 поколение,1.6 MT 211440-24,270000,232645.29788208008
910,2109,1999,бензин,1.5,70,механика,передний,коричневый,288000,левый,"1 поколение, рестайлинг",1.5 MT Стандарт,49000,57128.53468322754
918,4x4 2121 Нива,1995,бензин,1.7,80,механика,4WD,белый,252000,левый,1 поколение,1.7 MT,160000,143527.8260498047
919,4x4 2121 Нива,2020,бензин,1.7,83,механика,4WD,коричневый,17000,левый,"1 поколение, рестайлинг",1.7 MT Luxe,910000,1009324.9710845947
921,Х-рей,2019,бензин,1.6,106,механика,передний,коричневый,11000,левый,1 поколение,1.6 МТ Classic,890000,889994.9720306396
923,Веста,2021,бензин,1.6,106,механика,передний,белый,28000,левый,1 поколение,1.6 MT Classic + пакет Start,955000,953562.6508026123
926,2115 Самара,2011,бензин,1.6,81,механика,передний,серый,90060,левый,1 поколение,1.6 MT 21154-32-010,319000,242795.07960510254
927,4x4 2121 Нива,2019,бензин,1.7,83,механика,4WD,белый,23000,левый,"1 поколение, рестайлинг",1.7 MT Luxe+Кондиционер,660000,1006433.9017181396
928,2109,2003,бензин,1.5,78,механика,передний,синий,145000,левый,"1 поколение, рестайлинг",1.5i MT Люкс,69000,76066.41690063477
929,Гранта,2012,бензин,1.6,98,АКПП,передний,черный,118000,левый,1 поколение,1.6 AT Люкс,399000,434918.73945617676
930,Приора,2014,бензин,1.6,106,механика,передний,голубой,120000,левый,"1 поколение, рестайлинг",1.6 MT Люкс 21725-33-051,435000,434996.51232910156
931,4x4 2121 Нива,2010,бензин,1.7,80,механика,4WD,бордовый,130000,левый,1 поколение,1.7 MT,365000,304339.2641143799
934,21099,2000,бензин,1.5,70,механика,передний,бордовый,352000,левый,1 поколение,1.5 MT 21099-00 Стандарт,50000,47599.994857788086
935,2114 Самара,2011,бензин,1.6,81,механика,передний,белый,240000,левый,1 поколение,1.6 MT 21144-32-010,230000,205125.380569458
936,4x4 2121 Нива,2020,бензин,1.7,83,механика,4WD,белый,14010,левый,"1 поколение, рестайлинг",1.7 MT Luxe+Кондиционер,945000,1015659.1215209961
937,Ларгус,2020,бензин,1.6,106,механика,передний,серый,49000,левый,1 поколение,1.6 MT Kub,1050000,935352.9445343018
938,4x4 2121 Нива,1997,бензин,1.7,79,механика,4WD,бордовый,100000,левый,1 поколение,1.7 MT,150000,199148.01152038574
939,2109,2002,бензин,1.5,78,механика,передний,зеленый,150000,левый,"1 поколение, рестайлинг",1.5i MT Норма,30000,108121.51899719238
940,4x4 2131 Нива,2016,бензин,1.7,83,механика,4WD,серый,128000,левый,1 поколение,1.7 MT Стандарт,500000,384410.9499206543
941,Приора,2010,бензин,1.6,98,механика,передний,серый,170000,левый,1 поколение,1.6 MT Люкс 21713-01-018,145000,222041.8009185791
943,2104,1995,бензин,1.3,64,механика,задний,красный,50000,левый,1 поколение,1.3 MT 2104,25000,121969.51704406738
944,2114 Самара,2014,бензин,1.6,81,механика,передний,черный,250000,левый,1 поколение,1.6 MT 21144-40-021,170000,188576.50093078613
945,2114 Самара,2005,бензин,1.5,77,механика,передний,черный,167852,левый,1 поколение,1.5 MT Базовая,100000,118739.85743713379
947,21099,2002,бензин,1.5,78,механика,передний,серебристый,200000,левый,1 поколение,1.5i MT 21099-20 Стандарт,25000,61638.046295166016
954,Гранта,2017,бензин,1.6,87,механика,передний,белый,91000,левый,1 поколение,1.6 MT Стандарт,435000,364861.6162109375
957,Ларгус,2018,бензин,1.6,87,механика,передний,белый,89290,левый,1 поколение,1.6 MT Kub,760000,734828.109375
958,Ларгус,2018,бензин,1.6,87,механика,передний,белый,145273,левый,1 поколение,1.6 MT Kub,690000,726131.5836029053
960,Ларгус,2018,бензин,1.6,87,механика,передний,белый,97332,левый,1 поколение,1.6 MT Kub,740000,733578.8469238281
961,Ларгус,2018,бензин,1.6,87,механика,передний,белый,74530,левый,1 поколение,1.6 MT Kub,840000,737120.9611358643
962,2114 Самара,2004,бензин,1.5,77,механика,передний,серебристый,283489,левый,1 поколение,1.5 MT Базовая,107500,82039.14700317383
963,Приора,2007,бензин,1.6,98,механика,передний,серебристый,150000,левый,1 поколение,1.6 MT Норма 21703-01-015,185000,184999.31448364258
965,Гранта,2019,бензин,1.6,87,механика,передний,черный,108100,левый,"1 поколение, рестайлинг",1.6 MT Classic,425200,624382.7758483887
967,2112,2004,бензин,1.5,91,механика,передний,серебристый,168000,левый,1 поколение,1.5 MT Базовая 5-дв. 2112,110000,96055.69537353516
968,Гранта,2013,бензин,1.6,82,механика,передний,серебристый,82000,левый,1 поколение,1.6 MT Стандарт,360000,303792.1107330322
972,4x4 2121 Нива,2019,бензин,1.7,83,механика,4WD,черный,65000,левый,1 поколение,1.7 MT Black Edition,620000,673645.9579620361
973,Приора,2008,бензин,1.6,98,механика,передний,черный,170000,левый,1 поколение,1.6 MT Люкс 21703-02-018,220000,165665.1414642334
974,2114 Самара,2006,бензин,1.5,77,механика,передний,черный,230000,левый,1 поколение,1.5 MT Базовая,100000,116914.33950805664
976,Гранта,2016,бензин,1.6,87,механика,передний,коричневый,79000,левый,1 поколение,1.6 MT Норма Классик+,405000,421805.7652435303
979,2106,1991,бензин,1.3,64,механика,задний,бежевый,81000,левый,1 поколение,1.3 MT 21063,50000,86162.19520568848
980,2109,1999,бензин,1.5,75,механика,передний,черный,100000,левый,"1 поколение, рестайлинг",1.5 MT Люкс,110000,127243.91427612305
982,Веста,2017,бензин,1.8,122,робот,передний,черный,71000,левый,1 поколение,1.8 AMT Comfort + пакет Image,710000,710001.6071929932
983,Ларгус,2013,бензин,1.6,105,механика,передний,серебристый,156000,левый,1 поколение,1.6 MT Luxe 5 мест,560000,613762.8016204834
984,2106,1993,бензин,1.3,64,механика,задний,серый,398566,левый,1 поколение,1.3 MT 21063,60000,46860.786529541016
986,2112,2005,бензин,1.6,89,механика,передний,черный,296369,левый,1 поколение,1.6 MT Базовая 5-дв. 21124,90000,95418.7603149414
989,Ларгус,2019,бензин,1.6,106,механика,передний,белый,68028,левый,1 поколение,1.6 MT Club 5 мест,720000,719995.3680267334
995,2114 Самара,2007,бензин,1.6,81,механика,передний,бежевый,175400,левый,1 поколение,1.6 MT 21144-20-010,165000,145343.60235595703
998,4x4 2121 Нива,1995,бензин,1.6,73,механика,4WD,красный,83154,левый,1 поколение,1.6 MT Base,100000,122825.68075561523
1000,2101,1973,бензин,1.3,64,механика,задний,синий,100000,левый,1 поколение,1.3 MT 21011,36000,17373.216384887695
1001,2109,2001,бензин,1.5,68,механика,передний,серебристый,945,левый,"1 поколение, рестайлинг",1.5 MT Стандарт,90000,88878.06297302246
1006,2114 Самара,2004,бензин,1.5,77,механика,передний,серебристый,250,левый,1 поколение,1.5 MT Базовая,69000,126038.13354492188
1007,2112,2003,бензин,1.5,91,механика,передний,зеленый,185600,левый,1 поколение,1.5 MT Базовая 5-дв. 2112,140000,82810.61592102051
1010,Гранта,2020,бензин,1.6,87,механика,передний,коричневый,31340,левый,"1 поколение, рестайлинг",1.6 MT Standart,735000,567295.809967041
1011,2114 Самара,2004,бензин,1.5,77,механика,передний,серебристый,200000,левый,1 поколение,1.5 MT Базовая,110000,95008.51699829102
1018,2109,2001,бензин,1.5,68,механика,передний,серый,142000,левый,"1 поколение, рестайлинг",1.5 MT Норма,75000,104324.2266998291
1020,2109,2001,бензин,1.5,68,механика,передний,серебристый,945,левый,"1 поколение, рестайлинг",1.5 MT Стандарт,90000,88878.06297302246
1021,2109,2003,бензин,1.5,78,механика,передний,серебристый,190000,левый,"1 поколение, рестайлинг",1.5i MT,80000,64163.9040222168
1022,2101,1981,бензин,1.3,64,механика,задний,бежевый,90000,левый,1 поколение,1.3 MT 21011,59000,114314.1109008789
1023,Веста,2019,бензин,1.6,113,вариатор,передний,синий,40000,левый,1 поколение,1.6 CVT Luxe + пакет Multimedia,900000,1081947.095626831
1024,2113 Самара,2010,бензин,1.6,80,механика,передний,черный,240000,левый,1 поколение,1.6 MT Стандарт 21134-40-010,120000,120002.83497619629
1026,2106,2003,бензин,1.6,75,механика,задний,синий,23000,левый,1 поколение,1.6 MT5 2106,75000,103522.88589477539
1028,2114 Самара,2006,бензин,1.5,77,механика,передний,зеленый,230000,левый,1 поколение,1.5 MT Базовая,250000,103323.27214050293
1029,Гранта,2013,бензин,1.6,82,механика,передний,серебристый,153000,левый,1 поколение,1.6 MT Стандарт,230000,292762.81022644043
1030,2109,2003,бензин,1.5,78,механика,передний,серый,160300,левый,"1 поколение, рестайлинг",1.5i MT Стандарт,95000,96075.11024475098
1031,2104,2010,бензин,1.6,74,механика,задний,синий,66500,левый,1 поколение,1.6 MT 21041,177000,189668.66116333008
1033,2115 Самара,2001,бензин,1.5,76,механика,передний,серый,136000,левый,1 поколение,1.5i MT Базовая,57000,97388.68487548828
1034,2112,2002,бензин,1.5,91,механика,передний,серебристый,300000,левый,1 поколение,1.5 MT Базовая 5-дв. 2112,40000,59893.13121032715
1035,2114 Самара,2004,бензин,1.5,77,механика,передний,серебристый,218000,левый,1 поколение,1.5 MT Базовая,100000,92212.3563079834
1037,2114 Самара,2005,бензин,1.6,80,механика,передний,черный,555555,левый,1 поколение,1.6 MT Базовая,140000,69812.00244140625
1039,2114 Самара,2005,бензин,1.5,77,механика,передний,серебристый,200000,левый,1 поколение,1.5 MT Базовая,65000,102837.20988464355
1040,Веста Кросс,2018,бензин,1.8,122,робот,передний,оранжевый,35600,левый,1 поколение,1.8 AMT Luxe,950000,961806.5738525391
1041,2115 Самара,2011,бензин,1.6,81,механика,передний,белый,100160,левый,1 поколение,1.6 MT 21154-20-010,200000,187486.89682006836
1043,2114 Самара,2013,бензин,1.6,81,механика,передний,серебристый,110000,левый,1 поколение,1.6 MT 21144-40-021,199000,191587.0199432373
1044,2114 Самара,2007,бензин,1.6,81,механика,передний,черный,300000,левый,1 поколение,1.6 MT 21144-20-010,48000,115392.07287597656
1046,2114 Самара,2006,бензин,1.5,77,механика,передний,белый,167500,левый,1 поколение,1.5 MT Базовая,50000,106474.77598571777
1047,4x4 2121 Нива,1995,бензин,1.6,73,механика,4WD,красный,83567,левый,1 поколение,1.6 MT Base,125000,122761.52439880371
1051,2112,2005,бензин,1.6,81,механика,передний,серебристый,300000,левый,1 поколение,1.6 MT Базовая 5-дв.,63000,99099.77212524414
1052,2109,1988,бензин,1.3,64,механика,передний,красный,250000,левый,1 поколение,1.3 MT,26000,12696.038757324219
1055,4x4 2121 Нива,2014,бензин,1.7,83,механика,4WD,зеленый,47000,левый,1 поколение,1.7 MT Стандарт,469000,437097.3197479248
1057,4x4 Урбан,2020,бензин,1.7,83,механика,4WD,черный,28000,левый,"1 поколение, рестайлинг",1.7 MT Luxe 3 дв.,750000,952128.0396118164
1058,Ларгус,2015,бензин,1.6,105,механика,передний,белый,375000,левый,1 поколение,1.6 MT Luxe 5 мест,602000,586160.4820861816
1069,Приора,2011,бензин,1.6,81,механика,передний,зеленый,217000,левый,1 поколение,1.6 MT Стандарт 21722-00-010,265000,265002.3319244385
1070,2112,2003,бензин,1.5,91,механика,передний,синий,250000,левый,1 поколение,1.5 MT Базовая 5-дв. 2112,99000,64235.5966796875
1072,Ларгус,2018,бензин,1.6,87,механика,передний,белый,61000,левый,1 поколение,1.6 MT Kub,730000,739222.7419281006
1075,4x4 2121 Нива,2002,бензин,1.7,80,механика,4WD,фиолетовый,180000,левый,1 поколение,1.7 MT,250000,224767.32397460938
1078,Приора,2011,бензин,1.6,98,механика,передний,белый,179080,левый,1 поколение,1.6 MT Норма 21703-01-045,289000,288998.8893432617
1079,4x4 2121 Нива,1996,бензин,1.7,79,механика,4WD,белый,25,левый,1 поколение,1.7 MT Base,250000,189092.74961853027
1081,21099,1999,бензин,1.5,70,механика,передний,бордовый,90001,левый,1 поколение,1.5 MT 21099-00 Стандарт,60000,80470.81889343262
1083,4x4 2121 Нива,1990,бензин,1.6,73,механика,4WD,белый,113675,левый,1 поколение,1.6 MT Base,230000,73699.37017822266
1085,2114 Самара,2011,бензин,1.6,98,механика,передний,белый,160000,левый,1 поколение,1.6 MT 211440-26,175000,152421.08227539062
1086,2112,2004,бензин,1.5,78,механика,передний,серебристый,329654,левый,1 поколение,1.5 MT Базовая 5-дв. 21122,63000,62585.81866455078
1087,2106,2004,бензин,1.6,75,механика,задний,белый,180,левый,1 поколение,1.6 MT4 2106,55000,145738.14102172852
1088,Ларгус,2013,бензин,1.6,105,механика,передний,серебристый,246000,левый,1 поколение,1.6 MT Luxe 5 мест,568000,599781.9981689453
1094,2106,1985,бензин,1.3,64,механика,задний,зеленый,137000,левый,1 поколение,1.3 MT 21063,55000,6303.920120239258
1095,2115 Самара,2010,бензин,1.6,81,механика,передний,белый,140000,левый,1 поколение,1.6 MT 21154-22-010,225000,163164.09182739258
1099,Веста,2016,бензин,1.8,122,робот,передний,голубой,87900,левый,1 поколение,1.8 AMT Comfort,700000,700001.882019043
1100,2111,2005,бензин,1.6,82,механика,передний,желтый,183000,левый,1 поколение,1.6i MT Люкс,132000,93589.59503173828
1101,2112,2005,бензин,1.6,89,механика,передний,серебристый,100000,левый,1 поколение,1.6 MT Базовая 5-дв. 21124,123000,115014.46011352539
1102,2104,1997,бензин,1.5,71,механика,задний,белый,89000,левый,1 поколение,1.5 MT4 21043,60000,36735.398178100586
1105,Гранта,2015,бензин,1.6,106,робот,передний,белый,73500,левый,1 поколение,1.6 AMT Люкс Навигация,450000,449996.03161621094
1106,2115 Самара,2004,бензин,1.5,76,механика,передний,зеленый,303000,левый,1 поколение,1.5i MT Базовая,85000,76373.02894592285
1108,Гранта,2013,бензин,1.6,98,механика,передний,синий,89027,левый,1 поколение,1.6 MT Люкс 012,370000,369997.94998168945
1113,2101,1977,бензин,1.2,59,механика,задний,коричневый,65000,правый,1 поколение,1.2 MT ВАЗ-21014/Lada 1300 ES,100000,99992.92781066895
1117,2114 Самара,2012,бензин,1.6,81,механика,передний,серебристый,134792,левый,1 поколение,1.6 MT 21144-30-010,220000,210180.97828674316
1118,2101,1981,бензин,1.2,59,механика,задний,бежевый,77000,левый,1 поколение,1.2 MT 21013,115000,54247.13166809082
1119,2101,1980,бензин,1.3,64,механика,задний,красный,65000,левый,1 поколение,1.3 MT 21011,45000,84866.28091430664
1122,2115 Самара,2005,бензин,1.5,76,механика,передний,бежевый,864698,левый,1 поколение,1.5i MT Базовая,110000,21133.235946655273
1128,Гранта,2012,бензин,1.6,82,механика,передний,коричневый,90000,левый,1 поколение,1.6 MT Стандарт,165000,307063.2840423584
1129,2114 Самара,2005,бензин,1.5,77,механика,передний,серебристый,181000,левый,1 поколение,1.5 MT Базовая,95000,105788.71282958984
1130,4x4 2121 Нива,2006,бензин,1.7,80,механика,4WD,зеленый,85000,левый,1 поколение,1.7 MT Стандарт,270000,344329.23205566406
1131,4x4 Урбан,2016,бензин,1.7,83,механика,4WD,коричневый,140000,левый,1 поколение,1.7 MT Люкс 3 дв.,507000,550085.6133117676
1132,4x4 2121 Нива,1986,бензин,1.6,73,механика,4WD,бордовый,180,левый,1 поколение,1.6 MT,280000,138900.60049438477
1137,2115 Самара,2009,бензин,1.6,81,механика,передний,серебристый,168025,левый,1 поколение,1.6 MT 21154-20-010,130000,170526.95880126953
1138,Ларгус,2013,бензин,1.6,105,механика,передний,серебристый,103000,левый,1 поколение,1.6 MT Luxe 5 мест,660000,621995.9414367676
1139,2114 Самара,2007,бензин,1.6,81,механика,передний,серебристый,170000,левый,1 поколение,1.6 MT 21144-22-010,100000,162485.0057220459
1141,Веста,2022,бензин,1.6,106,механика,передний,белый,50,левый,1 поколение,1.6 MT Classic + пакет Start,1100000,965733.159866333
1147,Гранта,2019,бензин,1.6,98,АКПП,передний,белый,67500,левый,"1 поколение, рестайлинг",1.6 AT Luxe,750000,728665.0245361328
1152,2101,1974,бензин,1.3,64,механика,задний,бежевый,35,левый,1 поколение,1.3 MT 21011,195000,73488.62718200684
1153,Приора,2012,бензин,1.6,98,механика,передний,синий,53400,левый,1 поколение,1.6 MT Норма 21713-01-035,365000,364997.85972595215
1157,2113 Самара,2005,бензин,1.5,77,механика,передний,голубой,150000,левый,1 поколение,1.5 MT Базовая,80000,110252.0297241211
1158,Ларгус,2018,бензин,1.6,87,механика,передний,белый,81382,левый,1 поколение,1.6 MT Norma Comfort 7 мест,680000,679999.1698608398
1160,2114 Самара,2010,бензин,1.6,81,механика,передний,белый,81220,левый,1 поколение,1.6 MT 21144-22-010,279000,190522.62001037598
1166,2114 Самара,2006,бензин,1.5,77,механика,передний,серебристый,8850,левый,1 поколение,1.5 MT Базовая,157000,140359.57586669922
1168,Веста,2018,бензин,1.6,106,робот,передний,серый,59136,левый,1 поколение,1.6 AMT Comfort,790000,706364.1356964111
1170,4x4 2121 Нива,2008,бензин,1.7,80,механика,4WD,белый,69000,левый,1 поколение,1.7 MT Стандарт,300000,355914.70654296875
1172,2106,2001,бензин,1.6,75,механика,задний,серебристый,11111,левый,1 поколение,1.6 MT4 2106,45000,129793.76634216309
1174,2111,2005,бензин,1.6,82,механика,передний,черный,300000,левый,1 поколение,1.6i MT Люкс,115000,88821.96203613281
1181,2114 Самара,2007,бензин,1.6,81,механика,передний,черный,150000,левый,1 поколение,1.6 MT 21144-20-010,130000,138693.4119567871
1183,Приора,2018,бензин,1.6,87,механика,передний,коричневый,80000,левый,"1 поколение, рестайлинг",1.6 MT Стандарт 21702-40-050,430000,488238.3656158447
1184,2114 Самара,2011,бензин,1.6,81,механика,передний,черный,168222,левый,1 поколение,1.6 MT 21144-20-010,130000,167177.536819458
1185,2112,2001,бензин,1.5,91,механика,передний,голубой,150000,левый,1 поколение,1.5 MT Базовая 5-дв. 2112,70000,75908.95053100586
1187,Веста,2020,бензин,1.6,113,вариатор,передний,серый,45000,левый,1 поколение,1.6 CVT Comfort + пакет Winter,1250000,1187262.886566162
1189,2114 Самара,2011,бензин,1.6,81,механика,передний,зеленый,137000,левый,1 поколение,1.6 MT 21144-30-012,290000,215124.10527038574
1191,2106,1995,бензин,1.6,75,механика,задний,голубой,81615,левый,1 поколение,1.6 MT4 2106,85000,72412.53143310547
1194,2114 Самара,2012,бензин,1.6,81,механика,передний,черный,240000,левый,1 поколение,1.6 MT 21144-30-012,195000,220543.61270141602
1195,2120 Надежда,2002,бензин,1.8,84,механика,4WD,серебристый,200000,левый,1 поколение,1.8 MT Стандарт,65000,47043.23329162598
1199,2106,1987,бензин,1.5,72,механика,задний,серый,46600,левый,1 поколение,1.5 MT4 21061,96000,69000.03968811035
1201,2114 Самара,2013,бензин,1.6,81,механика,передний,белый,125500,левый,1 поколение,1.6 MT 21144-42-020,255000,230032.02729797363
1202,2114 Самара,2011,бензин,1.6,81,механика,передний,синий,140000,левый,1 поколение,1.6 MT 21144-30-012,195000,206087.10083007812
1203,Гранта,2020,бензин,1.6,106,механика,передний,серый,23000,левый,"1 поколение, рестайлинг",1.6 MT Luxe + пакет Prestige,800000,848466.4794006348
1205,Гранта,2019,бензин,1.6,87,механика,передний,белый,84000,левый,"1 поколение, рестайлинг",1.6 MT Classic,529000,607978.0695037842
1209,2112,2007,бензин,1.6,89,механика,передний,черный,270000,левый,1 поколение,1.6 MT Базовая 3-дв. 21123,145000,152619.4441986084
1210,2104,2011,бензин,1.6,74,механика,задний,синий,56000,левый,1 поколение,1.6 MT 21041,185000,199128.44778442383
1212,2112,2006,бензин,1.6,89,механика,передний,серебристый,100000,левый,1 поколение,1.6 MT Базовая 5-дв. 21124,109000,122843.15299987793
1214,2114 Самара,2013,бензин,1.6,81,механика,передний,белый,160000,левый,1 поколение,1.6 MT 21144-40-021,220000,174580.1566772461
1215,Ларгус,2019,бензин,1.6,106,механика,передний,белый,82000,левый,1 поколение,1.6 CNG MT Luxe 5 мест,880000,879995.4651031494
1216,Приора,2012,бензин,1.6,87,механика,передний,белый,92000,левый,1 поколение,1.6 MT Стандарт 21722-00-040,280000,327303.4662017822
1217,4x4 2121 Нива,1988,бензин,1.6,73,механика,4WD,бежевый,124535,левый,1 поколение,1.6 MT Base,85000,87099.3060913086
1218,4x4 2121 Нива,2017,бензин,1.7,83,механика,4WD,белый,11456,левый,1 поколение,1.7 MT Стандарт,640000,459547.49627685547
1221,2106,1989,бензин,1.3,64,механика,задний,красный,74000,левый,1 поколение,1.3 MT 21063,40000,46089.511657714844
1228,2112,2004,бензин,1.5,91,механика,передний,желтый,200000,левый,1 поколение,1.5 MT Базовая 5-дв. 2112,65000,88586.03611755371
1229,4x4 2121 Нива,2017,бензин,1.7,83,механика,4WD,красный,11196,левый,1 поколение,1.7 MT 40th Anniversary,950000,950004.0386199951
1232,Х-рей,2016,бензин,1.6,106,механика,передний,бежевый,79000,левый,1 поколение,1.6 МТ Top + пакет Prestige,649500,649495.9154968262
1233,2104,2011,бензин,1.6,74,механика,задний,красный,12700,левый,1 поколение,1.6 MT 21041,250000,213110.00289916992
1234,Приора,2017,бензин,1.6,87,механика,передний,белый,50000,левый,"1 поколение, рестайлинг",1.6 MT Стандарт 21702-40-050,500000,463487.58602905273
1235,4x4 2121 Нива,2019,бензин,1.7,83,механика,4WD,черный,42000,левый,1 поколение,1.7 MT Black Edition,699000,677218.8299560547
1236,2112,2002,бензин,1.5,91,механика,передний,бордовый,260000,левый,1 поколение,1.5 MT Базовая 5-дв. 2112,60000,81296.36041259766
1239,21099,2000,бензин,1.5,70,механика,передний,белый,219000,левый,1 поколение,1.5 MT 21099-00 Стандарт,70000,43831.22651672363
1240,Приора,2012,бензин,1.6,98,механика,передний,серебристый,160000,левый,1 поколение,1.6 MT Люкс 21713-24-041,310000,309998.60023498535
1241,Веста Кросс,2021,бензин,1.6,113,вариатор,передний,серый,12000,левый,1 поколение,1.6 CVT Luxe EnjoY Pro,1460000,1459993.3556976318
1242,2109,1996,бензин,1.3,68,механика,передний,белый,44000,левый,"1 поколение, рестайлинг",1.3 MT ,45000,44992.56434631348
1244,2109,1998,бензин,1.5,70,механика,передний,серый,222000,левый,"1 поколение, рестайлинг",1.5 MT Стандарт,45000,63087.04098510742
1245,2106,2000,бензин,1.3,64,механика,задний,красный,9276,левый,1 поколение,1.3 MT 21063,45000,142259.5058441162
1246,2114 Самара,2004,бензин,1.5,77,механика,передний,серебристый,105000,левый,1 поколение,1.5 MT Базовая,90000,109766.03175354004
1248,1111 Ока,2004,бензин,0.7,33,механика,передний,черный,8741,левый,1 поколение,0.6 MT 11113,85000,105013.61116027832
1249,2111,2007,бензин,1.6,89,механика,передний,зеленый,121999,левый,1 поколение,1.6i MT Люкс,125000,175088.9485015869
1251,2112,2001,бензин,1.5,91,механика,передний,серебристый,140000,левый,1 поколение,1.5 MT Базовая 5-дв. 2112,57000,76919.20001220703
1252,4x4 2131 Нива,2015,бензин,1.7,83,механика,4WD,серый,150000,левый,1 поколение,1.7 MT Стандарт,265000,373164.7272949219
1253,2106,1996,бензин,1.5,72,механика,задний,зеленый,1500,левый,1 поколение,1.5 MT5 21061,55000,55139.32432556152
1256,21099,1996,бензин,1.5,72,механика,передний,зеленый,200000,левый,1 поколение,1.5 MT 21099-02 Люкс,50000,40978.47741699219
1257,2115 Самара,2006,бензин,1.5,76,механика,передний,серебристый,140000,левый,1 поколение,1.5i MT Базовая,100000,120033.5659942627
1263,2114 Самара,2013,бензин,1.6,81,механика,передний,белый,215000,левый,1 поколение,1.6 MT 21144-40-021,200000,166036.33233642578
1264,2104,2005,бензин,1.5,71,механика,задний,зеленый,88888,левый,1 поколение,1.5 MT4 21043,80000,105939.72705078125
1265,2115 Самара,2007,бензин,1.5,76,механика,передний,черный,243000,левый,1 поколение,1.5i MT Базовая,115000,122770.71060180664
1266,2115 Самара,2005,бензин,1.5,76,механика,передний,серебристый,269000,левый,1 поколение,1.5i MT Базовая,70000,92165.72149658203
1267,21099,2000,бензин,1.5,70,механика,передний,зеленый,89000,левый,1 поколение,1.5 MT 21099-02 Люкс,68000,73379.21405029297
1269,4x4 2121 Нива,1994,бензин,1.6,73,механика,4WD,бежевый,90000,левый,1 поколение,1.6 MT,140000,193892.35134887695
1270,2104,2001,бензин,1.5,71,механика,задний,синий,85000,левый,1 поколение,1.5 MT4 21043,129000,66657.94854736328
1271,4x4 2121 Нива,2001,бензин,1.7,79,механика,4WD,голубой,202142,левый,1 поколение,1.7 MT,150000,199949.4482421875
1273,2113 Самара,2008,бензин,1.6,80,механика,передний,зеленый,85000,левый,1 поколение,1.6 MT 21134-22-010,130000,155965.50434875488
