Марка,Модель,Год выпуска,Двигатель,Мощность,КПП,Привод,Цвет,Пробег,Руль,Поколение,Комплектация,Цена
Лада,4x4 2131 Нива,2016,"бензин, 1.7 л","83 л.с., налог",механика,4WD,серебристый,88 000,левый,1 поколение,1.7 MT Стандарт,420000
Лада,2106,1996,"бензин, 1.5 л","72 л.с., налог",механика,задний,бежевый,92 580,левый,1 поколение,0,35000
Лада,Калина,2010,"бензин, 1.6 л","81 л.с., налог",механика,передний,серый,132 700,0,1 поколение,0,240000
Лада,Приора,2010,"бензин, 1.6 л","98 л.с., налог",механика,передний,серый,170 000,левый,1 поколение,0,239000
Лада,2114 Самара,2010,"бензин, 1.6 л","81 л.с., налог",механика,передний,черный,79 800,левый,1 поколение,1.6 MT 21144-22-010,325000
Лада,4x4 2121 Нива,2004,"бензин, 1.7 л","79 л.с., налог",механика,4WD,синий,110 000,левый,1 поколение,1.7 MT,200000
Лада,Гранта,2015,"бензин, 1.6 л","82 л.с., налог",механика,передний,черный,156 000,левый,1 поколение,0,390000
Лада,4x4 2121 Нива,2002,"бензин, 1.7 л","79 л.с., налог",механика,4WD,белый,134 248,левый,1 поколение,1.7 MT Base,300000
Лада,Калина,2013,"бензин, 1.6 л","82 л.с., налог",механика,передний,белый,145 000,0,1 поколение,1.6 MT Стандарт 11193-41-070,319000
Лада,4x4 2121 Нива,1986,"бензин, 1.6 л","80 л.с., налог",механика,4WD,золотистый,45 000,левый,1 поколение,0,270000
Лада,2110,2005,"бензин, 1.6 л","80 л.с., налог",механика,передний,серый,247 752,0,1 поколение,1.6i MT 21101,135000
Лада,2104,1995,"бензин, 1.5 л","71 л.с., налог",механика,задний,красный,25 000,левый,1 поколение,1.5 MT 21041 VF,33000
Лада,Приора,2011,"бензин, 1.6 л","98 л.с., налог",механика,передний,черный,150 000,левый,1 поколение,1.6 MT Норма 21703-01-010,250000
Лада,2115 Самара,2008,"бензин, 1.6 л","80 л.с., налог",механика,передний,черный,117 000,левый,1 поколение,1.6 MT 21154-20-010,140000
Лада,Веста Кросс,2018,"бензин, 1.8 л","122 л.с., налог",механика,передний,белый,57 933,левый,1 поколение,0,947000
Лада,Х-рей,2018,"бензин, 1.8 л","122 л.с., налог",робот,передний,коричневый,63 646,левый,1 поколение,0,817000
Лада,Х-рей,2018,"бензин, 1.6 л","106 л.с., налог",механика,передний,белый,70 990,левый,1 поколение,0,757000
Лада,Гранта,2021,"бензин, 1.6 л","87 л.с., налог",механика,передний,черный,23 727,левый,"1 поколение, рестайлинг",0,747000
Лада,Гранта,2013,"бензин, 1.6 л","98 л.с., налог",механика,передний,серебристый,180 000,левый,1 поколение,1.6 MT Норма 011,230000
Лада,2109,1999,"бензин, 1.5 л","68 л.с., налог",механика,передний,зеленый,333 333,левый,"1 поколение, рестайлинг",1.5 MT Норма,60000
Лада,Ларгус,2020,"бензин, 1.6 л","106 л.с., налог",механика,передний,белый,22 000,левый,1 поколение,1.6 MT Kub,850000
Лада,2115 Самара,2005,"бензин, 1.5 л","76 л.с., налог",механика,передний,серебристый,178 000,левый,1 поколение,1.5i MT Базовая,130000
Лада,2106,2000,"бензин, 1.6 л","75 л.с., налог",механика,задний,0,76 000,левый,1 поколение,0,67000
Лада,Веста,2020,"бензин, 1.6 л","113 л.с., налог",вариатор,передний,серый,25 229,левый,1 поколение,0,1098000
Лада,Веста,2020,"бензин, 1.6 л","113 л.с., налог",вариатор,передний,белый,29 000,левый,1 поколение,1.6 CVT Classic + пакет Start Plus,1120000
Лада,4x4 2121 Нива,2018,"бензин, 1.7 л","83 л.с., налог",механика,4WD,белый,102 000,левый,1 поколение,0,549000
Лада,Приора,2012,"бензин, 1.6 л","98 л.с., налог",механика,передний,серебристый,164 260,левый,1 поколение,0,309000
Лада,Веста,2019,"бензин, 1.8 л","122 л.с., налог",робот,передний,серебристый,54 585,левый,1 поколение,0,729000
Лада,2114 Самара,2005,"бензин, 1.5 л","77 л.с., налог",механика,передний,красный,240 000,левый,1 поколение,1.5 MT Базовая,90000
Лада,Веста Кросс,2018,"бензин, 1.8 л","122 л.с., налог",робот,передний,синий,75 000,левый,1 поколение,1.8 AMT Luxe + пакет Multimedia,1100000
Лада,2107,2011,"бензин, 1.6 л","72 л.с., налог",механика,задний,зеленый,67 300,0,1 поколение,1.6 MT 21074-40-013 Стандарт,165000
Лада,Приора,2012,"бензин, 1.6 л","98 л.с., налог",механика,передний,бордовый,150 000,левый,1 поколение,1.6 MT Люкс SE 21703-03-041,290000
Лада,2113 Самара,2005,"бензин, 1.5 л","77 л.с., налог",механика,передний,белый,166 000,левый,1 поколение,1.5 MT Базовая,100000
Лада,2105,2002,"бензин, 1.5 л","71 л.с., налог",механика,задний,синий,54 000,0,1 поколение,1.5 MT5 21053,40000
Лада,2107,2008,"бензин, 1.6 л","72 л.с., налог",механика,задний,белый,56 037,0,1 поколение,0,105000
Лада,2109,1992,"бензин, 1.3 л","64 л.с., налог",механика,передний,бежевый,100 000,левый,1 поколение,1.3 MT,55000
Лада,2111,2001,"бензин, 1.5 л","72 л.с., налог",механика,передний,серебристый,219 000,левый,1 поколение,1.5 MT Норма,82000
Лада,2107,2012,"бензин, 1.6 л","72 л.с., налог",механика,задний,белый,93 000,0,1 поколение,0,150000
Лада,2106,2004,"бензин, 1.6 л","75 л.с., налог",механика,задний,красный,45 000,левый,1 поколение,0,65000
Лада,2114 Самара,2005,"бензин, 1.5 л","77 л.с., налог",механика,передний,серебристый,300 000,левый,1 поколение,1.5 MT Базовая,195000
Лада,2109,2001,"бензин, 1.5 л","70 л.с., налог",механика,передний,голубой,210 000,левый,"1 поколение, рестайлинг",0,60000
Лада,Гранта,2015,"бензин, 1.6 л","82 л.с., налог",механика,передний,синий,90 000,левый,1 поколение,0,395000
Лада,2114 Самара,2008,"бензин, 1.6 л","81 л.с., налог",механика,передний,черный,237 000,левый,1 поколение,1.6 MT 21144-20-010,140000
Лада,2106,2003,"бензин, 1.6 л","75 л.с., налог",механика,задний,красный,35 000,левый,1 поколение,1.6 MT 21065,190000
